,Name,Rating,Price,Type,Address,Hours,Website,Phone,PlusCode,Descript,G_MAP_URL,Latitude,Longitude,geometry,Psuedo_Z,Convenience,Customer Service and Checkout Process,Employees,Food Departments and Quality,Food Selection and Variety,Price and General Experience,LGBTQ_Friendly,Family_Friendly,Shop_Online,Shop_Store,Delivery,Pickup_Curbside,Pickup_Store,Drive_Thru,Delivery_No_Contact,Delivery_Same_Day,Disinfect_Surfaces,Safety_Dividers_Checkout,Masks_Required,Masks_Staff,Staff_Temperature_Check,Great_Service,Wheelchair_Accessible,Quick_Visit,Organic_Food,Prepared_Food,Pay_Checks,Pay_Debit_Cards,Pay_NFC_Mobile,Pay_SNAP_EBT,Pay_Credit_Cards,Restroom,Tuesday_Open,Tuesday_Close,Wednesday_Open,Wednesday_Close,Thursday_Open,Thursday_Close,Friday_Open,Friday_Close,Saturday_Open,Saturday_Close,Sunday_Open,Sunday_Close,Monday_Open,Monday_Close
0,United Grocery Outlet,4.3,,Grocery store,"1210 E Broadway St, Lenoir City, TN 37772","{'Tuesday': ['8AM', '7PM'], 'Wednesday': ['8AM', '7PM'], 'Thursday': ['8AM', '7PM'], 'Friday': ['8AM', '7PM'], 'Saturday': ['8AM', '7PM'], 'Sunday': ['10AM', '6PM'], 'Monday': ['8AM', '7PM']}",Website: myugo.com ,(865) 986-2471,"QPXW+J6 Lenoir City, Tenn",,"https://www.google.com/maps/place/United+Grocery+Outlet/@35.7990411,-84.2566213,17z/data=!3m2!4b1!5s0x885c2ab8b3978365:0xdf1a777c03a819a5!4m5!3m4!1s0x885c2ab8b3781d03:0xe48a3fdaf4c0ddc3!8m2!3d35.7990368!4d-84.2544273",35.7990411,-84.2566213,POINT (-84.25662130000001 35.7990411),2022-03-10 23:59:59,,,,,,,,,False,Yes,,,,,,,Yes,Yes,,,,,Yes,Yes,,,,,,,,,2022-03-08 08:00:00,2022-03-08 19:00:00,2022-03-09 08:00:00,2022-03-09 19:00:00,2022-03-10 08:00:00,2022-03-10 19:00:00,2022-03-11 08:00:00,2022-03-11 19:00:00,2022-03-12 08:00:00,2022-03-12 19:00:00,2022-03-13 10:00:00,2022-03-13 18:00:00,2022-03-14 08:00:00,2022-03-14 19:00:00
1,Ingles Markets,4.3,$$,Grocery store,"11847 Kingston Pike, Knoxville, TN 37934","{'Tuesday': ['6AM', '11PM'], 'Wednesday': ['6AM', '11PM'], 'Thursday': ['6AM', '11PM'], 'Friday': ['6AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['6AM', '11PM'], 'Monday': ['6AM', '11PM']}",Website: ingles-markets.com ,(865) 966-4360,"VRFC+WR Knoxville, Tenn",,"https://www.google.com/maps/place/Ingles+Markets/@35.8747933,-84.1801737,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ea5af763e65:0x62738540aa32160c!8m2!3d35.8748079!4d-84.1778511",35.8747933,-84.1801737,POINT (-84.1801737 35.8747933),2022-03-10 23:59:59,,,,,,,,,True,Yes,,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,2022-03-08 06:00:00,2022-03-08 23:00:00,2022-03-09 06:00:00,2022-03-09 23:00:00,2022-03-10 06:00:00,2022-03-10 23:00:00,2022-03-11 06:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 06:00:00,2022-03-13 23:00:00,2022-03-14 06:00:00,2022-03-14 23:00:00
2,Ingles Markets,4.4,$$,Supermarket,"404 US-321 #1, Lenoir City, TN 37771","{'Tuesday': ['6AM', '11PM'], 'Wednesday': ['6AM', '11PM'], 'Thursday': ['6AM', '11PM'], 'Friday': ['6AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['6AM', '11PM'], 'Monday': ['6AM', '11PM']}",Website: ingles-markets.com ,(865) 988-5902,"RP2P+RV Lenoir City, Tenn",,"https://www.google.com/maps/place/Ingles+Markets/@35.8021016,-84.2649961,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ac9b1e6b74d:0xe19b46a2e31fea1e!8m2!3d35.8020899!4d-84.2625974",35.8021016,-84.2649961,POINT (-84.2649961 35.8021016),2022-03-10 23:59:59,,,,,,,,,True,Yes,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,2022-03-08 06:00:00,2022-03-08 23:00:00,2022-03-09 06:00:00,2022-03-09 23:00:00,2022-03-10 06:00:00,2022-03-10 23:00:00,2022-03-11 06:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 06:00:00,2022-03-13 23:00:00,2022-03-14 06:00:00,2022-03-14 23:00:00
3,ALDI,4.5,$,Supermarket,"725 US Hwy 321 N, Lenoir City, TN 37771","{'Tuesday': ['8:30AM', '8PM'], 'Wednesday': ['9AM', '8PM'], 'Thursday': ['8:30AM', '8PM'], 'Friday': ['9AM', '8PM'], 'Saturday': ['9AM', '8PM'], 'Sunday': ['9AM', '8PM'], 'Monday': ['9AM', '8PM']}",Website: aldi.us ,(855) 955-2534,"RP6P+MW Lenoir City, Tenn","Retail chain selling a range of grocery items, meat & dairy.","https://www.google.com/maps/place/ALDI/@35.8116793,-84.264845,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ace2832adff:0x577b0cadaca09ca4!8m2!3d35.811675!4d-84.262651",35.8116793,-84.264845,POINT (-84.26484499999999 35.8116793),2022-03-10 23:59:59,,,,,,,,,True,Yes,Yes,,,,Yes,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,2022-03-08 08:30:00,2022-03-08 20:00:00,2022-03-09 09:00:00,2022-03-09 20:00:00,2022-03-10 08:30:00,2022-03-10 20:00:00,2022-03-11 09:00:00,2022-03-11 20:00:00,2022-03-12 09:00:00,2022-03-12 20:00:00,2022-03-13 09:00:00,2022-03-13 20:00:00,2022-03-14 09:00:00,2022-03-14 20:00:00
4,Walmart Supercenter,3.9,$,Department store,"911 Highway 321 N, Lenoir City, TN 37771","{'Tuesday': ['6AM', '11PM'], 'Wednesday': ['6AM', '11PM'], 'Thursday': ['6AM', '11PM'], 'Friday': ['6AM', '11PM'], 'Saturday': ['6AM', '11PM'], 'Sunday': ['6AM', '11PM'], 'Monday': ['6AM', '11PM']}",Website: walmart.com ,(865) 986-9002,"RPCP+R5 Lenoir City, Tenn",,"https://www.google.com/maps/place/Walmart+Supercenter/@35.8220475,-84.2667817,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ad5fbbf955b:0xfaf65dbecc008160!8m2!3d35.8220432!4d-84.2645877",35.8220475,-84.2667817,POINT (-84.2667817 35.8220475),2022-03-10 23:59:59,,3.125,3.125,,,3.0062500000000005,,,True,Yes,,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,,,,,2022-03-08 06:00:00,2022-03-08 23:00:00,2022-03-09 06:00:00,2022-03-09 23:00:00,2022-03-10 06:00:00,2022-03-10 23:00:00,2022-03-11 06:00:00,2022-03-11 23:00:00,2022-03-12 06:00:00,2022-03-12 23:00:00,2022-03-13 06:00:00,2022-03-13 23:00:00,2022-03-14 06:00:00,2022-03-14 23:00:00
5,The Fresh Market,4.6,$$$,Grocery store,"11535 Kingston Pike, Farragut, TN 37934","{'Tuesday': ['8AM', '9PM'], 'Wednesday': ['8AM', '9PM'], 'Thursday': ['8AM', '9PM'], 'Friday': ['8AM', '9PM'], 'Saturday': ['8AM', '9PM'], 'Sunday': ['8AM', '9PM'], 'Monday': ['8AM', '9PM']}",Website: thefreshmarket.com ,(865) 671-3377,"VRJM+8W Farragut, Tenn","Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.","https://www.google.com/maps/place/The+Fresh+Market/@35.8808563,-84.167432,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ebf152b8317:0xabf99b50cd12f163!8m2!3d35.880852!4d-84.165238",35.8808563,-84.167432,POINT (-84.16743200000001 35.8808563),2022-03-10 23:59:59,3.7916666666666665,3.70625,3.9192708333333335,3.484375,3.4375,3.75,,,True,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 08:00:00,2022-03-08 21:00:00,2022-03-09 08:00:00,2022-03-09 21:00:00,2022-03-10 08:00:00,2022-03-10 21:00:00,2022-03-11 08:00:00,2022-03-11 21:00:00,2022-03-12 08:00:00,2022-03-12 21:00:00,2022-03-13 08:00:00,2022-03-13 21:00:00,2022-03-14 08:00:00,2022-03-14 21:00:00
6,Kroger Marketplace,4.4,$$,Grocery store,"189 Brooklawn St, Knoxville, TN 37934","{'Tuesday': ['6AM', '10PM'], 'Wednesday': ['6AM', '10PM'], 'Thursday': ['6AM', '10PM'], 'Friday': ['6AM', '10PM'], 'Saturday': ['6AM', '10PM'], 'Sunday': ['6AM', '10PM'], 'Monday': ['6AM', '10PM']}",Website: kroger.com ,(865) 671-7910,"VRJV+58 Knoxville, Tenn","Large supermarket chain with deli & bakery departments, plus health & beauty aids.","https://www.google.com/maps/place/Kroger+Marketplace/@35.8804863,-84.1589376,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2ec29d4809d7:0xc395d2593cf3c5be!8m2!3d35.880482!4d-84.1567436",35.8804863,-84.1589376,POINT (-84.1589376 35.8804863),2022-03-10 23:59:59,3.171875,3.445833333333333,3.75,3.666666666666667,,3.713541666666667,,,True,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,2022-03-08 06:00:00,2022-03-08 22:00:00,2022-03-09 06:00:00,2022-03-09 22:00:00,2022-03-10 06:00:00,2022-03-10 22:00:00,2022-03-11 06:00:00,2022-03-11 22:00:00,2022-03-12 06:00:00,2022-03-12 22:00:00,2022-03-13 06:00:00,2022-03-13 22:00:00,2022-03-14 06:00:00,2022-03-14 22:00:00
7,Publix Super Market at Turkey Creek,4.7,$$,Supermarket,"11656 Parkside Dr, Knoxville, TN 37934","{'Tuesday': ['7AM', '9PM'], 'Wednesday': ['7AM', '9PM'], 'Thursday': ['7AM', '9PM'], 'Friday': ['7AM', '9PM'], 'Saturday': ['7AM', '9PM'], 'Sunday': ['7AM', '9PM'], 'Monday': ['7AM', '9PM']}",Website: publix.com ,(865) 675-3018,"VRVJ+C2 Knoxville, Tenn","Supermarket chain with a wide selection of groceries, plus deli & bakery departments.","https://www.google.com/maps/place/Publix+Super+Market+at+Turkey+Creek/@35.89353,-84.1721719,17z/data=!3m1!4b1!4m5!3m4!1s0x885c2e8e1da45a71:0xcb94671251452348!8m2!3d35.8935257!4d-84.1699779",35.89353,-84.1721719,POINT (-84.1721719 35.89353),2022-03-10 23:59:59,3.7256944444444446,3.59375,3.671875,3.43125,3.5,3.8090277777777777,Yes,,True,Yes,Yes,Yes,Yes,,Yes,,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,2022-03-08 07:00:00,2022-03-08 21:00:00,2022-03-09 07:00:00,2022-03-09 21:00:00,2022-03-10 07:00:00,2022-03-10 21:00:00,2022-03-11 07:00:00,2022-03-11 21:00:00,2022-03-12 07:00:00,2022-03-12 21:00:00,2022-03-13 07:00:00,2022-03-13 21:00:00,2022-03-14 07:00:00,2022-03-14 21:00:00
8,Target,4.5,$$,Department store,"1900 Town Center Blvd, Knoxville, TN 37922","{'Tuesday': ['7AM', '10PM'], 'Wednesday': ['7AM', '10PM'], 'Thursday': ['7AM', '10PM'], 'Friday': ['7AM', '10PM'], 'Saturday': ['7AM', '10PM'], 'Sunday': ['7AM', '9PM'], 'Monday': ['7AM', '10PM']}",Website: target.com ,(865) 291-5478,"VW6C+W5 Knoxville, Tenn","Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.","https://www.google.com/maps/place/Target/@35.862379,-84.0818029,17z/data=!3m1!4b1!4m5!3m4!1s0x885c25de09f6e453:0x7f8af3f886618990!8m2!3d35.8623747!4d-84.0796089",35.862379,-84.0818029,POINT (-84.0818029 35.862379),2022-03-10 23:59:59,3.390625,3.583333333333333,3.416666666666667,3.458333333333333,3.385959201388889,3.327414772727273,,,True,Yes,Yes,Yes,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,Yes,Yes,,,Yes,2022-03-08 07:00:00,2022-03-08 22:00:00,2022-03-09 07:00:00,2022-03-09 22:00:00,2022-03-10 07:00:00,2022-03-10 22:00:00,2022-03-11 07:00:00,2022-03-11 22:00:00,2022-03-12 07:00:00,2022-03-12 22:00:00,2022-03-13 07:00:00,2022-03-13 21:00:00,2022-03-14 07:00:00,2022-03-14 22:00:00
9,Publix Super Market at Northshore Town Center,4.7,$$,Supermarket,"2010 Town Center Blvd, Knoxville, TN 37922","{'Tuesday': ['7AM', '9PM'], 'Wednesday': ['7AM', '9PM'], 'Thursday': ['7AM', '9PM'], 'Friday': ['7AM', '9PM'], 'Saturday': ['7AM', '9PM'], 'Sunday': ['7AM', '9PM'], 'Monday': ['7AM', '9PM']}",Website: publix.com ,(865) 470-0720,"VW6F+6C Knoxville, Tenn","Supermarket chain with a wide selection of groceries, plus deli & bakery departments.","https://www.google.com/maps/place/Publix+Super+Market+at+Northshore+Town+Center/@35.8605413,-84.0786327,17z/data=!3m1!4b1!4m5!3m4!1s0x885c25deeb789341:0xada630d2315f5eda!8m2!3d35.860537!4d-84.0764387",35.8605413,-84.0786327,POINT (-84.0786327 35.8605413),2022-03-10 23:59:59,3.65,3.701612103174603,3.6914682539682544,3.859375,3.4916666666666667,3.5873015873015874,Yes,,True,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2022-03-08 07:00:00,2022-03-08 21:00:00,2022-03-09 07:00:00,2022-03-09 21:00:00,2022-03-10 07:00:00,2022-03-10 21:00:00,2022-03-11 07:00:00,2022-03-11 21:00:00,2022-03-12 07:00:00,2022-03-12 21:00:00,2022-03-13 07:00:00,2022-03-13 21:00:00,2022-03-14 07:00:00,2022-03-14 21:00:00
