index,person_id,latlon,time,time_shift,sequence,poi_type,activity_type,travel_type,fixed_activity,time_available
1,1,"36.017275180220686, -83.9789496929944",3/11/2022 0:00,3/11/2022 8:45,1,home,home,stay,y,525
2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,2,home,home,stay,y,7
3,1,"36.00855266240395, -84.00900907740508",3/11/2022 8:52,3/11/2022 19:30,3,work,work,drive,y,638
4,1,"36.00855266240395, -84.00900907740508",3/11/2022 19:30,3/11/2022 19:37,4,work,work,stay,y,7
5,1,"36.017275180220686, -83.9789496929944",3/11/2022 19:37,3/12/2022 8:00,5,home,home,drive,y,743
6,1,"36.017275180220686, -83.9789496929944",3/12/2022 8:00,3/12/2022 8:32,6,home,home,stay,y,32
7,1,"36.017275180220686, -83.9789496929944",3/12/2022 8:32,3/12/2022 8:50,7,home,home,stay,y,18
8,1,"35.92535781354765, -84.00089557479511",3/12/2022 8:50,3/12/2022 11:41,8,church,social,drive,y,171
9,1,"35.92535781354765, -84.00089557479511",3/12/2022 11:41,3/12/2022 11:50,9,church,social,stay,y,9
10,1,"35.93162854767913, -84.02546806785314",3/12/2022 11:50,3/12/2022 14:59,10,restaurant,eat,drive,y,189
11,1,"35.93162854767913, -84.02546806785314",3/12/2022 14:59,3/12/2022 15:13,11,restaurant,eat,stay,y,14
12,1,"36.037151547762804, -83.88836923955422",3/12/2022 15:13,3/12/2022 15:20,12,pharmacy,shop,drive,y,7
13,1,"36.037151547762804, -83.88836923955422",3/12/2022 15:20,3/12/2022 15:27,13,pharmacy,shop,stay,y,7
14,1,"36.031335617114486, -83.86637642643856",3/12/2022 15:27,3/12/2022 16:59,14,grocery,shop,drive,n,92
15,1,"36.031335617114486, -83.86637642643856",3/12/2022 16:59,3/12/2022 17:11,15,grocery,shop,stay,n,12
16,1,"36.017275180220686, -83.9789496929944",3/12/2022 17:11,3/12/2022 19:00,16,home,home,drive,n,109
17,1,"36.017275180220686, -83.9789496929944",3/12/2022 19:00,3/12/2022 23:59,17,home,home,stay,y,299
18,1,"36.017275180220686, -83.9789496929944",3/12/2022 23:59,,18,home,home,stay,y,0
19,2,"35.98609435245885, -83.87576239278165",3/11/2022 0:00,3/11/2022 8:09,1,home,home,drive,y,489
20,2,"35.98609435245885, -83.87576239278165",3/11/2022 8:09,3/11/2022 8:12,2,home,home,stay,y,3
21,2,"35.98349169566448, -83.86571214720897",3/11/2022 8:12,3/11/2022 11:41,3,garden,social,drive,y,209
22,2,"35.98349169566448, -83.86571214720897",3/11/2022 11:41,3/11/2022 11:51,4,garden,social,stay,y,10
23,2,"35.984050920293654, -83.86389072399044",3/11/2022 11:51,3/11/2022 12:00,5,gas,shop,drive,n,9
24,2,"35.984050920293654, -83.86389072399044",3/11/2022 12:00,3/11/2022 12:11,6,gas,shop,stay,n,11
25,2,"35.98609435245885, -83.87576239278165",3/11/2022 12:11,3/11/2022 13:01,7,home,home,drive,y,50
26,2,"35.98609435245885, -83.87576239278165",3/11/2022 13:01,3/11/2022 13:12,8,home,home,stay,y,11
27,2,"35.98349169566448, -83.86571214720897",3/11/2022 13:12,3/11/2022 17:12,9,garden,social,drive,y,240
28,2,"35.98349169566448, -83.86571214720897",3/11/2022 17:12,3/11/2022 17:22,10,garden,social,stay,y,10
29,2,"35.98609435245885, -83.87576239278165",3/11/2022 17:22,3/12/2022 10:00,11,home,home,drive,y,998
30,2,"35.98609435245885, -83.87576239278165",3/12/2022 10:00,3/12/2022 10:11,12,home,home,stay,y,11
31,2,"35.95135168077186, -83.9250583052017",3/12/2022 10:11,3/12/2022 14:22,13,sports,social,drive,n,251
32,2,"35.95135168077186, -83.9250583052017",3/12/2022 14:22,3/12/2022 14:56,14,sports,social,stay,n,34
33,2,"35.98609435245885, -83.87576239278165",3/12/2022 14:56,3/12/2022 18:00,15,home,home,drive,n,184
34,2,"35.98609435245885, -83.87576239278165",3/12/2022 18:00,3/12/2022 23:59,16,home,home,tay,y,359
35,2,"35.98609435245885, -83.87576239278165",3/12/2022 23:59,,17,home,home,stay,y,0
36,3,"35.96010228551909, -83.9188915294376",3/11/2022 0:00,3/11/2022 1:43,1,bank,work,stay,y,103
37,3,"35.96010228551909, -83.9188915294376",3/11/2022 1:43,3/11/2022 2:03,2,bank,work,walk,y,20
38,3,"35.95808867715242, -83.90426963986357",3/11/2022 2:03,3/11/2022 10:15,3,home,home,stay,y,492
39,3,"35.95808867715242, -83.90426963986357",3/11/2022 10:15,3/11/2022 10:46,4,home,home,stay,y,31
40,3,"35.9592851213504, -83.90460677621395",3/11/2022 10:46,3/11/2022 10:48,5,bus_stop,travel,walk,y,2
41,3,"35.9592851213504, -83.90460677621395",3/11/2022 10:48,3/11/2022 11:13,6,bus_stop,travel,stay,y,25
42,3,"35.95560370575278, -83.96556637365558",3/11/2022 11:13,3/11/2022 11:19,7,bus_stop,travel,transit,y,6
43,3,"35.95739685436922, -83.96453325074523",3/11/2022 11:19,3/11/2022 16:20,8,school,school,walk,y,301
44,3,"35.95739685436922, -83.96453325074523",3/11/2022 16:20,3/11/2022 16:27,9,school,school,stay,y,7
45,3,"35.952655888861244, -83.9650406364998",3/11/2022 16:27,3/11/2022 16:30,10,bus_stop,travel,walk,y,3
46,3,"35.952655888861244, -83.9650406364998",3/11/2022 16:30,3/11/2022 17:04,11,bus_stop,travel,stay,y,34
47,3,"35.9592851213504, -83.90460677621395",3/11/2022 17:04,3/11/2022 17:18,12,bus_stop,travel,transit,y,14
48,3,"35.96010228551909, -83.9188915294376",3/11/2022 17:18,3/12/2022 1:43,13,bank,work,walk,y,505
49,3,"35.96010228551909, -83.9188915294376",3/12/2022 1:43,3/12/2022 2:12,14,bank,work,stay,y,29
50,3,"35.95808867715242, -83.90426963986357",3/12/2022 2:12,3/12/2022 11:10,15,home,home,walk,y,538
51,3,"35.95808867715242, -83.90426963986357",3/12/2022 11:10,3/12/2022 11:59,16,home,home,stay,y,49
52,3,"35.93498876956397, -83.90679194905826",3/12/2022 11:59,3/12/2022 12:29,17,grocery,shop,walk,n,30
53,3,"35.93498876956397, -83.90679194905826",3/12/2022 12:29,3/12/2022 12:35,18,grocery,shop,stay,n,6
54,3,"35.93250981577556, -83.90580555878401",3/12/2022 12:35,3/12/2022 13:14,19,grocery,shop,walk,n,39
55,3,"35.93250981577556, -83.90580555878401",3/12/2022 13:14,3/12/2022 14:03,20,grocery,shop,stay,n,49
56,3,"35.95808867715242, -83.90426963986357",3/12/2022 14:03,3/12/2022 17:00,21,home,home,walk,n,177
57,3,"35.95808867715242, -83.90426963986357",3/12/2022 17:00,3/12/2022 23:59,22,home,home,stay,y,419
58,3,"35.95808867715242, -83.90426963986357",3/12/2022 23:59,,23,home,home,stay,y,0
59,4,"35.934019762725534, -84.07721548710211",3/11/2022 0:00,3/11/2022 7:27,1,home,home,stay,y,447
60,4,"35.934019762725534, -84.07721548710211",3/11/2022 7:27,3/11/2022 7:37,2,home,home,stay,y,10
61,4,"35.92453138269377, -84.07484556526816",3/11/2022 7:37,3/11/2022 9:12,3,park,recreation,drive,n,95
62,4,"35.92453138269377, -84.07484556526816",3/11/2022 9:12,3/11/2022 9:20,4,park,recreation,stay,n,8
63,4,"35.92631279576836, -84.06270450865534",3/11/2022 9:20,3/11/2022 9:55,5,store,shop,drive,n,35
64,4,"35.92631279576836, -84.06270450865534",3/11/2022 9:55,3/11/2022 10:02,6,store,shop,stay,n,7
65,4,"35.92721470503679, -84.0602246148864",3/11/2022 10:02,3/11/2022 11:22,7,store,shop,drive,n,80
66,4,"35.92721470503679, -84.0602246148864",3/11/2022 11:22,3/11/2022 11:37,8,store,shop,stay,n,15
67,4,"35.934019762725534, -84.07721548710211",3/11/2022 11:37,3/11/2022 14:57,9,home,home,drive,n,200
68,4,"35.934019762725534, -84.07721548710211",3/11/2022 14:57,3/11/2022 15:09,10,home,home,stay,n,12
69,4,"35.91882993729321, -84.0849734823089",3/11/2022 15:09,3/11/2022 16:07,11,store,shop,drive,n,58
70,4,"35.91882993729321, -84.0849734823089",3/11/2022 16:07,3/11/2022 16:22,12,store,shop,stay,n,15
71,4,"35.934019762725534, -84.07721548710211",3/11/2022 16:22,3/11/2022 19:00,13,home,home,drive,y,158
72,4,"35.934019762725534, -84.07721548710211",3/11/2022 19:00,3/12/2022 10:42,14,home,home,stay,y,942
73,4,"35.934019762725534, -84.07721548710211",3/12/2022 10:42,3/12/2022 10:48,15,home,home,stay,y,6
74,4,"35.92147889046933, -84.08789340621922",3/12/2022 10:48,3/12/2022 19:55,16,work,work,drive,y,547
75,4,"35.92147889046933, -84.08789340621922",3/12/2022 19:55,3/12/2022 20:02,17,work,work,stay,n,7
76,4,"35.934019762725534, -84.07721548710211",3/12/2022 20:02,3/12/2022 21:00,18,home,home,drive,n,58
77,4,"35.934019762725534, -84.07721548710211",3/12/2022 21:00,3/12/2022 23:59,19,home,home,stay,y,179
78,4,"35.934019762725534, -84.07721548710211",3/12/2022 23:59,,20,home,home,stay,y,0
79,5,"35.95498572297621, -83.93159117686818",3/11/2022 0:00,3/11/2022 7:54,1,home,home,stay,y,474
80,5,"35.95711741865676, -83.92760768354964",3/11/2022 7:54,3/11/2022 8:52,2,school,school,walk,y,58
81,5,"35.95711741865676, -83.92760768354964",3/11/2022 8:52,3/11/2022 8:59,3,school,school,stay,y,7
82,5,"35.95564677114325, -83.9287890173111",3/11/2022 8:59,3/11/2022 9:23,4,restaurant,eat,walk,y,24
83,5,"35.95564677114325, -83.9287890173111",3/11/2022 9:23,3/11/2022 9:33,5,restaurant,eat,stay,y,10
84,5,"35.95498572297621, -83.93159117686818",3/11/2022 9:33,3/11/2022 12:45,6,home,home,walk,n,192
85,5,"35.95498572297621, -83.93159117686818",3/11/2022 12:45,3/11/2022 12:54,7,home,home,stay,n,9
86,5,"35.95581795071851, -83.9332160871249",3/11/2022 12:54,3/11/2022 13:32,8,restaurant,eat,walk,y,38
87,5,"35.95581795071851, -83.9332160871249",3/11/2022 13:32,3/11/2022 13:39,9,restaurant,eat,stay,y,7
88,5,"35.95498572297621, -83.93159117686818",3/11/2022 13:39,3/11/2022 15:12,10,home,study,walk,n,93
