,index,person_id,latlon,time,time_shift,sequence,poi_type,activity_type,travel_type,fixed_activity,time_available,latitude,longitude,datetime,latlon_shift,node_id_o,node_id_d
0,1,1,"36.017275180220686, -83.9789496929944",3/11/2022 0:00,3/11/2022 8:45,1,home,home,stay,y,525,36.017275180220686,-83.9789496929944,2022-03-11 00:00:00,"36.017275180220686, -83.9789496929944",13164,13164
1,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,2,travel,drive,drive,y,7,36.0172705,-83.9786499,2022-03-11 08:45:02,"36.00855266240395, -84.00900907740508",13164,6077
2,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,3,travel,drive,drive,y,7,36.0175872,-83.9786177,2022-03-11 08:45:03,"36.00855266240395, -84.00900907740508",6077,13165
3,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,4,travel,drive,drive,y,7,36.0176306,-83.9791059,2022-03-11 08:45:04,"36.00855266240395, -84.00900907740508",13165,17528
4,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,5,travel,drive,drive,y,7,36.0169185,-83.9804546,2022-03-11 08:45:05,"36.00855266240395, -84.00900907740508",17528,6837
5,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,6,travel,drive,drive,y,7,36.0184767,-83.9841122,2022-03-11 08:45:06,"36.00855266240395, -84.00900907740508",6837,20485
6,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,7,travel,drive,drive,y,7,36.0170465,-83.9854545,2022-03-11 08:45:07,"36.00855266240395, -84.00900907740508",20485,6833
7,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,8,travel,drive,drive,y,7,36.0165702,-83.9859129,2022-03-11 08:45:08,"36.00855266240395, -84.00900907740508",6833,6834
8,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,9,travel,drive,drive,y,7,36.0163202,-83.9861548,2022-03-11 08:45:09,"36.00855266240395, -84.00900907740508",6834,50453
9,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,10,travel,drive,drive,y,7,36.016086,-83.9864226,2022-03-11 08:45:10,"36.00855266240395, -84.00900907740508",50453,50431
10,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,11,travel,drive,drive,y,7,36.0158654,-83.9868137,2022-03-11 08:45:11,"36.00855266240395, -84.00900907740508",50431,50430
11,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,12,travel,drive,drive,y,7,36.0155891,-83.9873634,2022-03-11 08:45:12,"36.00855266240395, -84.00900907740508",50430,6835
12,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,13,travel,drive,drive,y,7,36.0140955,-83.9903344,2022-03-11 08:45:13,"36.00855266240395, -84.00900907740508",6835,6836
13,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,14,travel,drive,drive,y,7,36.0123128,-83.9917914,2022-03-11 08:45:14,"36.00855266240395, -84.00900907740508",6836,6838
14,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,15,travel,drive,drive,y,7,36.012671,-83.9937186,2022-03-11 08:45:15,"36.00855266240395, -84.00900907740508",6838,39295
15,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,16,travel,drive,drive,y,7,36.0109933,-83.9966281,2022-03-11 08:45:16,"36.00855266240395, -84.00900907740508",39295,6839
16,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,17,travel,drive,drive,y,7,36.0105815,-83.9973422,2022-03-11 08:45:17,"36.00855266240395, -84.00900907740508",6839,6840
17,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,18,travel,drive,drive,y,7,36.0102908,-83.9978894,2022-03-11 08:45:18,"36.00855266240395, -84.00900907740508",6840,6841
18,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,19,travel,drive,drive,y,7,36.0100348,-83.9983507,2022-03-11 08:45:19,"36.00855266240395, -84.00900907740508",6841,42808
19,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,20,travel,drive,drive,y,7,36.0091249,-83.9996402,2022-03-11 08:45:20,"36.00855266240395, -84.00900907740508",42808,6842
20,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,21,travel,drive,drive,y,7,36.0088697,-83.9994934,2022-03-11 08:45:21,"36.00855266240395, -84.00900907740508",6842,42811
21,2,1,"36.017275180220686, -83.9789496929944",3/11/2022 8:45,3/11/2022 8:52,22,travel,drive,drive,y,7,36.0089249,-83.9999104,2022-03-11 08:45:22,"36.00855266240395, -84.00900907740508",42811,42813
